Strike Price,Call Theta,Put Theta
30.0,-0.001197316727753617,-8.77028858196103e-07
30.404040404040405,-0.0012138119954798745,-1.2586306060641928e-06
30.80808080808081,-0.0012304487788453186,-1.7817479931185727e-06
31.21212121212121,-0.0012472698913555058,-2.489194524916413e-06
31.616161616161616,-0.00126432778910003,-3.4334262910512004e-06
32.02020202020202,-0.001281685767899149,-4.677739111780448e-06
32.42424242424242,-0.001299419053456373,-6.297358690614869e-06
32.82828282828283,-0.0013176157076722236,-8.38034692807591e-06
33.23232323232323,-0.0013363772675688361,-1.1028240846299022e-05
33.63636363636363,-0.0013558190302366455,-1.435633753571895e-05
34.04040404040404,-0.0013760698986071916,-1.8493539927875542e-05
34.44444444444444,-0.0013972717092293695,-2.358168457166407e-05
34.84848484848485,-0.0014195779748506314,-2.9774284214536353e-05
35.25252525252525,-0.0014431519914253912,-3.7234634810906366e-05
35.656565656565654,-0.0014681642807881012,-4.61332581952272e-05
36.06060606060606,-0.0014947893658912386,-5.664467731997488e-05
36.464646464646464,-0.0015232019041566452,-6.894354960699217e-05
36.868686868686865,-0.0015535722347995984,-8.320021427155576e-05
37.27272727272727,-0.0015860614264509348,-9.957573994450272e-05
37.676767676767675,-0.0016208159404222146,-0.00011821658793739309
38.08080808080808,-0.0016579620509368036,-0.00013924903247359275
38.484848484848484,-0.0016976001850971588,-0.00016277350065555798
38.888888888888886,-0.001739799360987573,-0.0001888590105675831
39.292929292929294,-0.0017845919111160544,-0.0002175378947176748
39.696969696969695,-0.0018319686797165454,-0.00024880099733977617
40.101010101010104,-0.0018818748759845047,-0.0002825935276293457
40.505050505050505,-0.0019342067512237986,-0.0003188117368902506
40.90909090909091,-0.001988809246647776,-0.0003573005663358383
41.313131313131315,-0.0020454747310631803,-0.000397852384772853
41.717171717171716,-0.0021039429150340435,-0.0004402069027653263
42.121212121212125,-0.0021639019917672354,-0.00048405231352012914
42.525252525252526,-0.0022249910164274826,-0.0005290276722019871
42.92929292929293,-0.0022868034964905587,-0.0005747264862866735
43.333333333333336,-0.002348892127675707,-0.0006207014514934322
43.73737373737374,-0.002410774574464081,-0.0006664702323034167
44.141414141414145,-0.0024719401625472475,-0.0007115221544081937
44.54545454545455,-0.0025318573238770382,-0.0007553256497595948
44.94949494949495,-0.0025899816141635606,-0.0007973362740677278
45.35353535353535,-0.0026457641082648906,-0.0008370051021906685
45.75757575757576,-0.002698659971209722,-0.0008737872991571103
46.161616161616166,-0.0027481370015855354,-0.0009071506635545341
46.56565656565657,-0.0027936839494359317,-0.0009365839454265407
46.96969696969697,-0.0028348184221319594,-0.0009616047521441791
47.37373737373737,-0.002871094208208369,-0.0009817668722421993
47.77777777777778,-0.002902107870030673,-0.0009966668680861138
48.18181818181818,-0.0029275044804239095,-0.001005949812500961
48.58585858585859,-0.002946982405035772,-0.0010093140711344342
48.98989898989899,-0.0029602970602027458,-0.0010065150603230178
49.39393939393939,-0.0029672636044482704,-0.0009973679385901527
49.7979797979798,-0.0029677585495452782,-0.0009817492177087708
50.2020202020202,-0.0029617203034977874,-0.0009595973056828911
50.60606060606061,-0.0029491486821331555,-0.0009309120183398695
51.01010101010101,-0.0029301034476776648,-0.0008957531179059894
51.41414141414141,-0.002904701951284291,-0.0008542379555342258
51.81818181818181,-0.002873115971706173,-0.0008065383099777184
52.22222222222222,-0.0028355678540131863,-0.0007528765263063426
52.62626262626263,-0.0027923260604107583,-0.0006935210667255247
53.03030303030303,-0.0027437002499324454,-0.0006287815902688228
53.43434343434343,-0.0026900360052320308,-0.0005590036795900185
53.838383838383834,-0.002631709323168263,-0.0004845633315478614
54.24242424242424,-0.0025691209816891113,-0.0004058613240903201
54.64646464646465,-0.0025026908890589832,-0.00032331756548180233
55.05050505050505,-0.0024328525131339504,-0.00023736552357837994
55.45454545454545,-0.0023600474785883284,-0.00014844682305436844
55.858585858585855,-0.002284720409137649,-5.700608762529995e-05
56.26262626262626,-0.002207314080277724,3.651390721301533e-05
56.66666666666667,-0.0021282649362295665,0.00013167671723956261
57.07070707070707,-0.0020479990129727496,0.00022805630647476877
57.474747474747474,-0.001966928297752561,0.0003252406876733464
57.878787878787875,-0.001885447544502426,0.0004228351069018707
58.282828282828284,-0.0018039315544308718,0.0005204647629518149
58.686868686868685,-0.0017227329217350763,0.0006177770616259995
59.09090909090909,-0.0016421802361310845,0.000714443413208381
59.494949494949495,-0.0015625767267036298,0.0008101605886142254
59.898989898989896,-0.001484199325508984,0.0009046516557872609
60.3030303030303,-0.0014072981244126564,0.0009976665228619776
60.707070707070706,-0.0013320961947820803,0.0010889821184709432
61.111111111111114,-0.001258789736831732,0.0011784022423996811
61.515151515151516,-0.0011875485235646255,0.0012657571216451772
61.91919191919192,-0.0011185166032862328,0.0013509027079019595
62.323232323232325,-0.0010518132244913137,0.0014337197526752676
62.72727272727273,-0.0009875339474414737,0.0015141126957034974
63.13131313131313,-0.0009257519078600924,0.001592008401263268
63.535353535353536,-0.0008665191997704683,0.0016673547753312818
63.93939393939394,-0.0008098683464945254,0.0017401192945856142
64.34343434343435,-0.0007558138311204167,0.0018102874759381134
64.74747474747474,-0.0007043536602514895,0.0018778613127854288
65.15151515151516,-0.0006554709374876961,0.0019428577015276121
65.55555555555556,-0.0006091354257936867,0.0020053068792000106
65.95959595959596,-0.0005653050806139549,0.0020652508903581325
66.36363636363636,-0.0005239275382526247,0.002122742098697852
66.76767676767676,-0.00048494154659977056,0.0021778417563290955
67.17171717171718,-0.0004482783277228032,0.002230618641184453
